Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR13675761_1										5.0564681724846	4.711933343863529	20.57435634181014	12.79418733217501	9.329094929710946	0.0	39.69258410993524
SRR13675761_2										6.685357763386511	4.002132364555362	23.793634496919918	14.689622492497238	1.0108987521718527	0.0	39.69258410993524
SRR13675762_1										7.465092933410397	5.922793782131232	25.92096857603504	9.213234772204139	35.172735476936495	5.485758322432797	0.0
SRR13675762_2										9.375475314087549	4.849978198927184	24.995183483912836	30.68070047353958	16.273740354292784	0.0	0.0
SRR13675763_1										6.867174798893651	4.5900808648100835	9.217110402634967	3.832105229820746	25.717332094673058	16.557228216118066	23.68198804974347
SRR13675763_2										7.395012984819374	6.704600637628529	5.114752021620252	6.812279627557376	25.528366024111648	38.394949644237066	0.0
SRR13675764_1										6.0997419066392995	3.9252545369561243	14.39530961042128	12.653687483488122	44.14920641372163	5.364074217082935	0.0
SRR13675764_2										5.5114109781128695	4.06344625764627	15.095413254211799	13.518401853394844	51.179710203832784	0.0	0.0
SRR13675765_1										5.375699243980849	2.5679090024283058	9.776143614145129	3.8371167061553138	14.170689265314548	9.131217004040623	46.149611176106255
SRR13675765_2										5.985233540116205	1.9210161526588478	13.986845856641466	0.5475977466893439	4.78877670399245	61.82545690494214	0.0
SRR13675766_1										2.9518109843525964	1.165762732996696	0.0	0.0	0.0	0.0	89.51125241568481
SRR13675766_2										1.9574839473848262	0.32728632878249486	0.0	0.0	0.0	0.0	89.51125241568481
SRR13675767_1										5.277935904734064	2.9362893672015633	18.2331492222718	13.882948443774328	48.514546825238085	0.0	0.0
SRR13675767_2										4.306352600889272	2.937827899749219	20.642491191901165	27.765127621274825	33.042294259735066	0.0	0.0
SRR13675768_1										6.538104238075408	3.171348944485376	10.79539994233911	3.936957427042957	28.583784476407086	10.406188935515905	25.02802959925681
SRR13675768_2										7.50232245250985	4.0843130345645005	11.271102284011917	2.746900727167889	38.35410193163981	0.0	25.02802959925681
SRR13675769_1										4.808717963502176	3.5363873112885713	12.26299958678083	19.997885855411727	46.87346844639202	0.0	0.0
SRR13675769_2										6.398170303956334	5.258454175916049	8.66126598821845	34.47016653693507	32.85765080097251	0.0	0.0
SRR13675770_1										4.8852129550900525	2.9974319995190366	15.243101182654403	11.111969974148222	53.62826690027741	0.0	0.0
SRR13675770_2										6.518770451676072	3.8769077495211834	13.901557118686284	19.529686600877756	43.37430110020355	0.0	0.0
SRR13675771_1										1.9909655442360383	0.48980714504850464	1.1277201222931015	0.0	0.0	0.0	93.04643117839348
SRR13675771_2										1.8576702952595554	0.2993853607963862	0.8833454991695494	0.0	0.0	0.0	93.04643117839348
SRR13675772_1										6.368123897684224	4.089917658968285	18.357145093455507	11.214660669373101	19.12524394443807	12.200874547333049	17.674622473153068
SRR13675772_2										6.903497145719623	6.737562747205727	21.135241752851673	10.683461871614782	26.16545433673203	0.0	17.674622473153068
SRR13675773_1										4.918495069679438	3.486700869628498	24.2258850926027	13.639340683331513	41.4428919695812	0.0	0.0
SRR13675773_2										6.381217479896663	4.669250081868792	24.207692027799002	23.06880617108758	29.239893752501544	0.0	0.0
SRR13675774_1										5.326627475773045	4.138633854515603	22.316162941015502	14.005869198033535	35.701142700774696	5.77578153750342	0.0
SRR13675774_2										6.208894382743425	4.650065580267417	20.138331902205195	23.105956952923748	34.61222718136954	0.0	0.0
SRR13675775_1										1.2051111789092084	0.04845569892859066	2.113206869941315	0.0	0.0	0.0	94.0264891154143
SRR13675775_2										1.022056316290088	0.0	1.9364333016277526	0.0	0.0	0.0	94.0264891154143
SRR13675776_1										4.539052299340989	1.962124872772883	11.668397298158677	8.023276136819272	15.131545128358026	4.694295084663863	46.825747684209446
SRR13675776_2										5.104506153166027	3.2092076449361038	15.01331386801279	4.97650796261836	36.53500159355177	0.0	25.43565649192429
SRR13675777_1										12.631578947368421	0.0	0.0	0.0	0.0	0.0	0.0
SRR13675777_2										12.631578947368421	0.0	0.0	0.0	0.0	0.0	0.0
SRR13675778_1										3.5894891513844627	2.858614964792092	12.235940690418486	4.598019197374196	18.183119287063718	0.0	51.299543919241266
SRR13675778_2										4.473980497299773	2.496994446882812	12.283647882754805	7.303017002843348	14.70908154113314	0.0	51.299543919241266
SRR13675779_1										4.468307697628373	3.186954754926119	6.735316750101592	5.683950233012562	59.095271444504974	11.070474411848624	0.0
SRR13675779_2										3.652115269888206	2.2730613268314612	18.271816287534907	11.740547644368359	52.473218685964774	0.0	0.0
